FPS: 4.22794997356, fr_cap: 0.00538301467896, t_calcs: 0.14261007309, imshow2: 0.0883049964905, tot: 0.236521247
FPS: 6.72437561684, fr_cap: 0.00189995765686, t_calcs: 0.145468950272, imshow2: 0.00129389762878, tot: 0.148712692
FPS: 7.13286028632, fr_cap: 0.00149202346802, t_calcs: 0.137463092804, imshow2: 0.00119304656982, tot: 0.140196213
FPS: 7.34190510544, fr_cap: 0.00179100036621, t_calcs: 0.133125066757, imshow2: 0.00123691558838, tot: 0.13620443
FPS: 7.47053079175, fr_cap: 0.00189900398254, t_calcs: 0.130635976791, imshow2: 0.00125312805176, tot: 0.133859297
FPS: 7.49186845708, fr_cap: 0.00164198875427, t_calcs: 0.130532979965, imshow2: 0.00124287605286, tot: 0.133478051
FPS: 7.37592831129, fr_cap: 0.00168800354004, t_calcs: 0.132594108582, imshow2: 0.00123596191406, tot: 0.135576155
FPS: 7.49863322412, fr_cap: 0.00176191329956, t_calcs: 0.130312919617, imshow2: 0.00123596191406, tot: 0.133357636
FPS: 7.35346186645, fr_cap: 0.00210809707642, t_calcs: 0.132580041885, imshow2: 0.00125288963318, tot: 0.13599037
FPS: 7.18372396305, fr_cap: 0.00179314613342, t_calcs: 0.136113882065, imshow2: 0.0012481212616, tot: 0.139203567
FPS: 7.59063723741, fr_cap: 0.00163793563843, t_calcs: 0.128819942474, imshow2: 0.00123405456543, tot: 0.131741245
FPS: 7.48555067895, fr_cap: 0.00180196762085, t_calcs: 0.130515098572, imshow2: 0.00122499465942, tot: 0.133590706
FPS: 7.5501323693, fr_cap: 0.00155591964722, t_calcs: 0.129563093185, imshow2: 0.00128197669983, tot: 0.132448009
FPS: 7.55478457804, fr_cap: 0.00175905227661, t_calcs: 0.129307985306, imshow2: 0.00124406814575, tot: 0.132366448
FPS: 7.63546068899, fr_cap: 0.00169110298157, t_calcs: 0.127993822098, imshow2: 0.00123500823975, tot: 0.130967867
FPS: 7.5726088047, fr_cap: 0.00205421447754, t_calcs: 0.128713130951, imshow2: 0.00123691558838, tot: 0.132054887
FPS: 7.35125179394, fr_cap: 0.00180196762085, t_calcs: 0.132953882217, imshow2: 0.00122809410095, tot: 0.136031254
FPS: 7.59409887789, fr_cap: 0.00186491012573, t_calcs: 0.128526926041, imshow2: 0.00123906135559, tot: 0.131681193
FPS: 7.55831773101, fr_cap: 0.00155591964722, t_calcs: 0.129458904266, imshow2: 0.00124096870422, tot: 0.132304573
FPS: 7.5124052912, fr_cap: 0.00164604187012, t_calcs: 0.130064964294, imshow2: 0.00135016441345, tot: 0.133113159
FPS: 7.13358638495, fr_cap: 0.00184607505798, t_calcs: 0.137048006058, imshow2: 0.00123715400696, tot: 0.140181943
FPS: 7.17389211755, fr_cap: 0.00201988220215, t_calcs: 0.136086940765, imshow2: 0.00123000144958, tot: 0.139394346
FPS: 7.58693894198, fr_cap: 0.00182008743286, t_calcs: 0.128690958023, imshow2: 0.00124096870422, tot: 0.131805463
FPS: 6.85283484406, fr_cap: 0.00126504898071, t_calcs: 0.14337682724, imshow2: 0.00123715400696, tot: 0.145925011
FPS: 7.08061960916, fr_cap: 0.00184202194214, t_calcs: 0.137943983078, imshow2: 0.001384973526, tot: 0.141230578
FPS: 6.86163908927, fr_cap: 0.00120306015015, t_calcs: 0.143122196198, imshow2: 0.00136590003967, tot: 0.145737773
FPS: 7.09950956588, fr_cap: 0.00122690200806, t_calcs: 0.138329029083, imshow2: 0.00125002861023, tot: 0.1408548
FPS: 7.22965153665, fr_cap: 0.00173497200012, t_calcs: 0.135265827179, imshow2: 0.00127196311951, tot: 0.138319253
FPS: 7.06172862487, fr_cap: 0.00153303146362, t_calcs: 0.138762950897, imshow2: 0.0012629032135, tot: 0.141608387
FPS: 6.51276469642, fr_cap: 0.00188207626343, t_calcs: 0.150346040726, imshow2: 0.00126194953918, tot: 0.153544623
FPS: 6.10210965186, fr_cap: 0.00119209289551, t_calcs: 0.161301136017, imshow2: 0.00134086608887, tot: 0.16387775
FPS: 5.87328107123, fr_cap: 0.00116586685181, t_calcs: 0.167783975601, imshow2: 0.00125908851624, tot: 0.170262582
FPS: 5.92181202995, fr_cap: 0.00171399116516, t_calcs: 0.165837049484, imshow2: 0.00125694274902, tot: 0.168867231
FPS: 5.90310109144, fr_cap: 0.0012309551239, t_calcs: 0.166897058487, imshow2: 0.00122809410095, tot: 0.169402486
FPS: 6.22901677836, fr_cap: 0.00181484222412, t_calcs: 0.157452821732, imshow2: 0.00122404098511, tot: 0.16053898
FPS: 6.21282748823, fr_cap: 0.00121188163757, t_calcs: 0.158450841904, imshow2: 0.0012481212616, tot: 0.16095731
FPS: 6.49906369939, fr_cap: 0.00120210647583, t_calcs: 0.151379823685, imshow2: 0.00123810768127, tot: 0.153868318
FPS: 6.54904108613, fr_cap: 0.00130295753479, t_calcs: 0.150124073029, imshow2: 0.00121593475342, tot: 0.15269411
FPS: 6.86493392165, fr_cap: 0.00177121162415, t_calcs: 0.142602920532, imshow2: 0.00124287605286, tot: 0.145667826
FPS: 6.40846499781, fr_cap: 0.00143384933472, t_calcs: 0.153322935104, imshow2: 0.00124001502991, tot: 0.156043608
FPS: 6.09764664011, fr_cap: 0.0013210773468, t_calcs: 0.161393880844, imshow2: 0.00123310089111, tot: 0.163997696
FPS: 5.48249801052, fr_cap: 0.00178122520447, t_calcs: 0.179336071014, imshow2: 0.00122690200806, tot: 0.182398607
FPS: 4.98098953045, fr_cap: 0.00151491165161, t_calcs: 0.197869062424, imshow2: 0.00133109092712, tot: 0.200763321
FPS: 4.84570018611, fr_cap: 0.00123000144958, t_calcs: 0.203734874725, imshow2: 0.00135707855225, tot: 0.206368525
FPS: 4.80897066157, fr_cap: 0.00118517875671, t_calcs: 0.205465078354, imshow2: 0.00125002861023, tot: 0.207944708
FPS: 4.74017682964, fr_cap: 0.00124478340149, t_calcs: 0.208450078964, imshow2: 0.0012218952179, tot: 0.210962594
