FPS: 4.24257252933, fr_cap: 0.00516605377197, t_calcs: 0.142452001572, imshow2: 0.0878579616547, tot: 0.235706047
FPS: 6.98253236437, fr_cap: 0.00191402435303, t_calcs: 0.13985490799, imshow2: 0.00138807296753, tot: 0.143214517
FPS: 7.17162246936, fr_cap: 0.00161504745483, t_calcs: 0.136561870575, imshow2: 0.001216173172, tot: 0.139438461
FPS: 7.40079104539, fr_cap: 0.00143790245056, t_calcs: 0.132422924042, imshow2: 0.00121808052063, tot: 0.135120691
FPS: 7.32259022453, fr_cap: 0.00168013572693, t_calcs: 0.133589982986, imshow2: 0.00124502182007, tot: 0.136563698
FPS: 7.36889369347, fr_cap: 0.00170302391052, t_calcs: 0.132638931274, imshow2: 0.0012481212616, tot: 0.135705581
FPS: 7.39752048429, fr_cap: 0.0018310546875, t_calcs: 0.132058858871, imshow2: 0.00124192237854, tot: 0.13518043
FPS: 7.42626141994, fr_cap: 0.00210905075073, t_calcs: 0.131234169006, imshow2: 0.00126481056213, tot: 0.134657258
FPS: 7.14340371529, fr_cap: 0.00191903114319, t_calcs: 0.136799097061, imshow2: 0.00122809410095, tot: 0.139989288
FPS: 7.16540251889, fr_cap: 0.00176501274109, t_calcs: 0.136512994766, imshow2: 0.00123405456543, tot: 0.139559501
FPS: 7.23174829489, fr_cap: 0.00179314613342, t_calcs: 0.135197162628, imshow2: 0.00123906135559, tot: 0.138279149
FPS: 6.7794386054, fr_cap: 0.00177907943726, t_calcs: 0.144459009171, imshow2: 0.0012218952179, tot: 0.147504839
FPS: 7.15426891721, fr_cap: 0.00189018249512, t_calcs: 0.136495113373, imshow2: 0.00133895874023, tot: 0.139776686
FPS: 7.49859223304, fr_cap: 0.0019211769104, t_calcs: 0.130145072937, imshow2: 0.0012309551239, tot: 0.133358365
FPS: 7.42374321688, fr_cap: 0.0017671585083, t_calcs: 0.131629943848, imshow2: 0.00124502182007, tot: 0.134702935
FPS: 7.44886059249, fr_cap: 0.00180792808533, t_calcs: 0.131145000458, imshow2: 0.00124788284302, tot: 0.13424872
FPS: 7.41386504862, fr_cap: 0.001620054245, t_calcs: 0.131977081299, imshow2: 0.00123882293701, tot: 0.134882412
FPS: 7.40202646315, fr_cap: 0.00185799598694, t_calcs: 0.131954193115, imshow2: 0.0012378692627, tot: 0.135098139
FPS: 7.35662874072, fr_cap: 0.00182604789734, t_calcs: 0.132829189301, imshow2: 0.00122785568237, tot: 0.135931829
FPS: 7.55477276358, fr_cap: 0.00195407867432, t_calcs: 0.129111766815, imshow2: 0.00124907493591, tot: 0.132366655
