FPS: 5.41800384582, fr_cap: 0.00464487075806, t_calcs: 0.178632974625, imshow2: 0.00123310089111, tot: 0.184569821
FPS: 5.78023335449, fr_cap: 0.00469398498535, t_calcs: 0.166998147964, imshow2: 0.00125288963318, tot: 0.173003396
FPS: 5.66339711389, fr_cap: 0.00468993186951, t_calcs: 0.170318126678, imshow2: 0.00149583816528, tot: 0.176572467
FPS: 5.71820693385, fr_cap: 0.00470781326294, t_calcs: 0.168603181839, imshow2: 0.00150179862976, tot: 0.174879995
FPS: 5.58123481695, fr_cap: 0.00466394424438, t_calcs: 0.172851085663, imshow2: 0.0015869140625, tot: 0.17917182
FPS: 5.67570293439, fr_cap: 0.00552606582642, t_calcs: 0.169341802597, imshow2: 0.00125598907471, tot: 0.17618963
FPS: 5.96605685929, fr_cap: 0.00493192672729, t_calcs: 0.161093950272, imshow2: 0.00152397155762, tot: 0.167614896
FPS: 5.69775950934, fr_cap: 0.00645518302917, t_calcs: 0.167472839355, imshow2: 0.00151014328003, tot: 0.175507583
FPS: 5.8146418135, fr_cap: 0.00465106964111, t_calcs: 0.166010856628, imshow2: 0.00125002861023, tot: 0.171979639
FPS: 5.50213447604, fr_cap: 0.00469303131104, t_calcs: 0.175764083862, imshow2: 0.00122785568237, tot: 0.181747648
FPS: 5.60771443405, fr_cap: 0.004714012146, t_calcs: 0.172304868698, imshow2: 0.00124406814575, tot: 0.178325771
FPS: 5.6467807415, fr_cap: 0.00480794906616, t_calcs: 0.170978069305, imshow2: 0.00124406814575, tot: 0.177092054
FPS: 5.63346379346, fr_cap: 0.00481009483337, t_calcs: 0.171391010284, imshow2: 0.00124478340149, tot: 0.177510682
FPS: 5.64565564032, fr_cap: 0.00469303131104, t_calcs: 0.171117067337, imshow2: 0.00125408172607, tot: 0.177127346
FPS: 5.81181014685, fr_cap: 0.00514316558838, t_calcs: 0.165626049042, imshow2: 0.00123190879822, tot: 0.172063432
FPS: 5.6069820473, fr_cap: 0.00509190559387, t_calcs: 0.171947002411, imshow2: 0.00125002861023, tot: 0.178349064
FPS: 5.53060512159, fr_cap: 0.00656890869141, t_calcs: 0.172939062119, imshow2: 0.00122499465942, tot: 0.180812041
FPS: 5.73126690136, fr_cap: 0.00503611564636, t_calcs: 0.168146133423, imshow2: 0.00123596191406, tot: 0.174481492
FPS: 5.70091303372, fr_cap: 0.00471305847168, t_calcs: 0.169306993484, imshow2: 0.0013279914856, tot: 0.175410499
FPS: 5.901955453, fr_cap: 0.0047390460968, t_calcs: 0.163372993469, imshow2: 0.00125598907471, tot: 0.169435369
FPS: 5.82559441467, fr_cap: 0.00474405288696, t_calcs: 0.165352106094, imshow2: 0.00149393081665, tot: 0.171656303
FPS: 5.61402919397, fr_cap: 0.00473308563232, t_calcs: 0.172101020813, imshow2: 0.00122809410095, tot: 0.178125187
FPS: 5.84124633832, fr_cap: 0.00516891479492, t_calcs: 0.164644002914, imshow2: 0.00131988525391, tot: 0.171196341
FPS: 5.5760673361, fr_cap: 0.00468897819519, t_calcs: 0.173341035843, imshow2: 0.00124216079712, tot: 0.179337863
FPS: 5.61128588053, fr_cap: 0.00464296340942, t_calcs: 0.171905994415, imshow2: 0.00159883499146, tot: 0.178212271
